Date,Open,High,Low,Close,Adj Close,Volume
2012-09-12,121.410004,121.620003,121.379997,121.620003,72.780334,1528233
2012-09-13,121.709999,122.250000,121.529999,122.190002,73.121399,1976000
2012-09-14,122.250000,122.400002,122.070000,122.309998,73.193199,1957533
2012-09-17,122.279999,122.279999,121.980003,122.279999,73.175270,917200
2012-09-18,122.220001,122.339996,121.919998,122.250000,73.157295,1509400
2012-09-19,122.430000,122.430000,122.129997,122.129997,73.085487,941400
2012-09-20,121.919998,122.040001,121.529999,121.620003,72.780334,1075967
2012-09-21,121.919998,121.919998,121.410004,121.559998,72.744400,1413867
2012-09-24,121.440002,121.559998,121.320000,121.440002,72.672577,1244033
2012-09-25,121.349998,121.559998,120.510002,120.599998,72.169937,2083267
2012-09-26,120.300003,120.419998,119.550003,120.089996,71.864731,2864467
2012-09-27,120.389999,120.989998,120.330002,120.900002,72.349434,2345667
2012-09-28,120.660004,121.080002,120.599998,120.629997,72.187866,3063733
2012-10-01,120.720001,120.720001,119.879997,119.940002,72.173424,1192667
2012-10-02,120.089996,120.209999,119.790001,119.940002,72.173424,2171233
2012-10-03,120.059998,120.330002,119.910004,120.000000,72.209496,4260167
2012-10-04,120.300003,120.690002,120.269997,120.540001,72.534454,936000
2012-10-05,120.900002,121.050003,120.360001,120.599998,72.570580,1494100
2012-10-08,120.419998,120.629997,120.330002,120.570000,72.552513,747633
2012-10-09,120.570000,120.599998,120.330002,120.389999,72.444199,2424867
2012-10-10,120.360001,120.480003,120.150002,120.209999,72.335915,1385400
2012-10-11,120.480003,120.779999,120.419998,120.629997,72.588608,1239333
2012-10-12,120.779999,121.080002,120.720001,120.750000,72.660873,1239300
2012-10-15,121.110001,121.470001,120.900002,121.379997,73.039925,1127867
2012-10-16,121.320000,121.650002,121.320000,121.589996,73.166313,951333
2012-10-17,121.860001,122.040001,121.650002,121.949997,73.382889,1468400
2012-10-18,121.709999,121.919998,121.650002,121.800003,73.292686,761567
2012-10-19,121.769997,121.830002,121.139999,121.260002,72.967728,915600
2012-10-22,121.440002,121.739998,121.260002,121.470001,73.094086,2048300
2012-10-23,121.320000,121.320000,120.930000,121.199997,72.931572,1934400
2012-10-24,121.320000,121.379997,120.779999,120.870003,72.733047,1771900
2012-10-25,121.199997,121.440002,121.019997,121.019997,72.823265,1252100
2012-10-26,121.169998,121.169998,120.690002,120.839996,72.714996,1230233
2012-10-31,120.959999,121.139999,120.809998,121.019997,72.823265,1769333
2012-11-01,120.389999,120.809998,120.330002,120.809998,72.696907,1375533
2012-11-02,121.080002,121.199997,120.629997,120.660004,72.606636,1342733
2012-11-05,120.690002,120.870003,120.510002,120.629997,72.588608,939367
2012-11-06,120.809998,121.050003,120.660004,120.750000,72.660873,820000
2012-11-07,120.720001,120.720001,120.120003,120.180000,72.317833,1488467
2012-11-08,120.360001,120.540001,119.790001,119.790001,72.083130,2691900
2012-11-09,119.639999,120.089996,119.550003,119.790001,72.083130,2893033
2012-11-12,120.120003,120.269997,119.639999,119.669998,72.010933,1356900
2012-11-13,119.459999,119.760002,119.250000,119.309998,71.794342,2018667
2012-11-14,119.849998,119.849998,118.860001,118.980003,71.595726,2583567
2012-11-15,119.010002,119.220001,118.349998,119.099998,71.667931,2364500
2012-11-16,119.040001,119.430000,118.769997,119.220001,71.740158,1906133
2012-11-19,119.639999,120.180000,119.519997,120.029999,72.227592,3864833
2012-11-20,120.120003,120.269997,119.849998,120.180000,72.317833,1843567
2012-11-21,120.180000,120.330002,120.089996,120.150002,72.299767,1385000
2012-11-23,120.449997,120.750000,120.239998,120.660004,72.606636,836600
2012-11-26,120.510002,120.629997,120.209999,120.419998,72.462227,1254500
2012-11-27,120.599998,120.900002,120.540001,120.779999,72.678864,1398833
2012-11-28,120.750000,121.110001,120.480003,120.870003,72.733047,1370600
2012-11-29,121.199997,121.410004,121.050003,121.320000,73.003876,938067
2012-11-30,121.320000,121.680000,121.260002,121.680000,73.220444,1289467
2012-12-03,121.290001,121.470001,121.080002,121.470001,73.498154,1307567
2012-12-04,121.230003,121.529999,121.230003,121.470001,73.498154,1219100
2012-12-05,121.589996,121.739998,121.500000,121.559998,73.552628,1470233
2012-12-06,121.739998,121.980003,121.709999,121.949997,73.788589,859000
2012-12-07,122.190002,122.190002,121.709999,121.860001,73.734154,1145700
2012-12-10,121.800003,122.160004,121.769997,122.040001,73.843048,1090400
2012-12-11,122.250000,122.519997,122.099998,122.279999,73.988297,1091433
2012-12-12,122.550003,122.699997,122.309998,122.610001,74.187981,1000833
2012-12-13,122.489998,122.730003,122.220001,122.250000,73.970123,1535167
2012-12-14,122.339996,122.519997,122.129997,122.279999,73.988297,1535133
2012-12-17,122.190002,122.820000,122.190002,122.820000,74.315048,1152533
2012-12-18,122.699997,122.910004,122.550003,122.820000,74.315048,1056733
2012-12-19,122.879997,122.879997,122.519997,122.610001,74.187981,1306467
2012-12-20,122.550003,123.000000,122.519997,122.910004,74.369499,1506233
2012-12-21,122.220001,122.639999,122.160004,122.639999,74.206116,1648300
2012-12-24,122.459999,122.519997,121.949997,122.070000,73.861221,790733
2012-12-26,122.250000,122.489998,122.099998,122.459999,74.097206,1004100
2012-12-27,121.919998,122.190002,121.680000,121.980003,74.197578,1933333
2012-12-28,121.980003,122.220001,121.650002,121.650002,73.996819,1333367
2012-12-31,121.769997,122.160004,121.620003,122.129997,74.288795,1317900
2013-01-02,123.150002,123.150002,122.879997,123.089996,74.872734,2613367
2013-01-03,122.849998,123.089996,122.669998,122.820000,74.708549,2233400
2013-01-04,122.790001,123.150002,122.639999,122.970001,74.799736,1753167
2013-01-07,122.790001,123.269997,122.669998,123.239998,74.964005,2031100
2013-01-08,123.239998,123.300003,123.059998,123.209999,74.945755,1014867
2013-01-09,123.360001,123.419998,123.209999,123.389999,75.055229,803967
2013-01-10,123.419998,123.599998,123.360001,123.599998,75.182976,1214067
2013-01-11,123.510002,123.750000,123.389999,123.629997,75.201210,857033
2013-01-14,123.629997,123.720001,123.330002,123.629997,75.201210,882933
2013-01-15,123.389999,123.629997,123.269997,123.629997,75.201210,1246333
2013-01-16,123.480003,123.570000,123.239998,123.330002,75.018738,1354833
2013-01-17,123.449997,123.870003,123.419998,123.809998,75.310677,1675100
2013-01-18,123.599998,123.989998,123.599998,123.989998,75.420197,936467
2013-01-22,124.080002,124.110001,123.809998,124.080002,75.474937,1078167
2013-01-23,124.019997,124.080002,123.900002,123.930000,75.383690,919267
2013-01-24,123.900002,124.199997,123.900002,124.080002,75.474937,1365667
2013-01-25,124.260002,124.290001,124.019997,124.080002,75.474937,1260267
2013-01-28,124.199997,124.199997,123.930000,124.110001,75.493195,1440233
2013-01-29,123.930000,123.959999,123.690002,123.690002,75.237717,1469600
2013-01-30,123.570000,123.599998,122.580002,122.610001,74.580795,4063833
2013-01-31,122.610001,122.849998,122.400002,122.459999,74.489525,3319400
2013-02-01,122.099998,122.430000,122.010002,122.160004,74.694992,3064267
2013-02-04,121.830002,122.129997,121.529999,121.650002,74.383148,2808400
2013-02-05,121.800003,121.980003,121.709999,121.980003,74.584908,1975367
2013-02-06,121.860001,121.889999,121.470001,121.680000,74.401497,2254467
2013-02-07,121.680000,121.680000,121.199997,121.290001,74.163025,2349833
2013-02-08,121.320000,121.589996,121.320000,121.349998,74.199707,2176400
2013-02-11,121.290001,121.470001,121.260002,121.440002,74.254707,2143533
2013-02-12,121.440002,121.980003,121.379997,121.830002,74.493202,2124400
2013-02-13,121.919998,122.040001,121.769997,121.980003,74.584908,1596200
2013-02-14,121.860001,122.309998,121.860001,122.250000,74.750053,1691733
2013-02-15,122.250000,122.430000,121.860001,121.980003,74.584908,1893133
2013-02-19,122.190002,122.430000,122.160004,122.370003,74.823364,1677700
2013-02-20,122.370003,122.519997,122.160004,122.220001,74.731651,1507000
2013-02-21,122.099998,122.339996,122.070000,122.339996,74.805061,1604500
2013-02-22,122.339996,122.550003,122.220001,122.489998,74.896744,1718400
2013-02-25,122.639999,122.849998,122.250000,122.250000,74.750053,1937233
2013-02-26,122.489998,122.970001,122.339996,122.760002,75.061867,2773567
2013-02-27,122.820000,123.089996,122.760002,122.879997,75.135201,1894700
2013-02-28,122.820000,122.910004,122.639999,122.699997,75.025146,1381867
2013-03-01,122.040001,122.550003,122.010002,122.489998,75.292503,1847700
2013-03-04,122.279999,122.459999,122.250000,122.339996,75.200386,1508100
2013-03-05,122.430000,122.669998,122.430000,122.519997,75.310982,961767
2013-03-06,122.730003,122.730003,122.459999,122.580002,75.347893,1111667
2013-03-07,122.550003,122.940002,122.550003,122.669998,75.403160,866233
2013-03-08,122.790001,122.879997,122.489998,122.699997,75.421631,3497067
2013-03-11,122.760002,122.849998,122.639999,122.730003,75.440056,1287600
2013-03-12,122.820000,122.910004,122.610001,122.699997,75.421631,1752933
2013-03-13,122.849998,123.059998,122.669998,123.059998,75.642937,1177600
2013-03-14,123.000000,123.300003,122.940002,123.150002,75.698235,1510633
2013-03-15,123.120003,123.300003,123.000000,123.239998,75.753571,789233
2013-03-18,122.910004,123.330002,122.790001,123.239998,75.753571,1227000
2013-03-19,123.300003,123.389999,122.970001,123.059998,75.642937,1820267
2013-03-20,123.150002,123.449997,123.150002,123.360001,75.827324,800800
2013-03-21,123.239998,123.360001,123.029999,123.180000,75.716713,1126000
2013-03-22,123.209999,123.330002,123.000000,123.120003,75.679802,1220533
2013-03-25,123.150002,123.300003,122.940002,123.029999,75.624496,1815033
2013-03-26,123.209999,123.239998,123.029999,123.209999,75.735115,704867
2013-03-27,122.970001,123.180000,122.970001,123.150002,75.698235,881533
2013-03-28,122.970001,123.330002,122.970001,123.330002,75.808899,1295900
2013-04-01,122.580002,122.940002,122.459999,122.940002,75.953461,1776833
2013-04-02,122.879997,123.029999,122.669998,122.760002,75.842247,1769867
2013-04-03,122.760002,122.849998,122.580002,122.760002,75.842247,1305733
2013-04-04,122.849998,123.029999,122.489998,122.519997,75.693962,7308933
2013-04-05,122.309998,122.699997,122.250000,122.699997,75.805183,2386167
2013-04-08,122.669998,122.820000,122.489998,122.790001,75.860786,4742600
2013-04-09,122.910004,123.059998,122.760002,122.970001,75.972015,1719033
2013-04-10,123.000000,123.570000,123.000000,123.570000,76.342667,1769600
2013-04-11,123.570000,123.629997,123.419998,123.510002,76.305626,923900
2013-04-12,123.510002,123.660004,123.330002,123.660004,76.398285,863833
2013-04-15,123.419998,123.480003,123.000000,123.000000,75.990547,1510933
2013-04-16,123.239998,123.720001,123.180000,123.690002,76.416862,1457733
2013-04-17,123.480003,123.480003,123.120003,123.419998,76.250008,1003033
2013-04-18,123.360001,123.419998,123.150002,123.180000,76.101730,1451167
2013-04-19,123.300003,123.360001,123.150002,123.330002,76.194427,942533
2013-04-22,123.510002,123.839996,123.389999,123.720001,76.435326,1295133
2013-04-23,123.750000,124.110001,123.720001,124.110001,76.676270,1073367
2013-04-24,124.139999,124.410004,124.050003,124.349998,76.824562,1387300
2013-04-25,124.290001,124.709999,124.290001,124.500000,76.917267,1463633
2013-04-26,124.620003,124.620003,124.410004,124.559998,76.954300,1030067
2013-04-29,124.709999,124.889999,124.559998,124.860001,77.139641,716467
2013-04-30,124.949997,125.309998,124.889999,125.250000,77.380600,1400633
